time [ms], azimuth [degrees], elevation [degrees]
0.0, 21.92636037195491, 2.5274529755837428e-08, 
7.051237, 22.34365160463738, 0.412408213644791, 
14.102475, 22.77424235072234, 0.8309277695996399, 
21.153712, 23.218844292843404, 1.2558187033938613, 
28.204949, 23.678217526098983, 1.6873529494982804, 
35.256186, 24.153174171378723, 2.125814394658133, 
42.307424, 24.644582692262805, 2.571499197527555, 
49.358661, 25.153372164758697, 3.024715639053051, 
56.409898, 25.680537640970684, 3.4857844860466036, 
63.461135, 26.227145235542142, 3.9550385755132527, 
70.512373, 26.794338092008573, 4.432822591242089, 
77.56361, 27.383342359904283, 4.919492197508469, 
84.614847, 27.9954744874487, 5.415413557294809, 
91.666084, 28.632148251082512, 5.9209618089083005, 
98.717322, 29.29488284064573, 6.436519503043384, 
105.768559, 29.985310961588386, 6.962474056954485, 
112.819796, 30.705188458309536, 7.49921527210022, 
119.871033, 31.45640356839198, 8.047131310961065, 
126.922271, 32.2409872943082, 8.60660413462885, 
133.973508, 33.061123576309946, 9.178003299121144, 
141.024745, 33.91916097471058, 9.761679125975848, 
148.075982, 34.817623447557935, 10.357953411525179, 
155.12722, 35.75922182892295, 10.967108621172295, 
162.178457, 36.746864206853644, 11.589374234367835, 
169.229694, 37.78366692246149, 12.224911216883497, 
176.280932, 38.87296311214562, 12.873792555236669, 
183.332169, 40.01830910235775, 13.535980120040218, 
190.383406, 41.22348922279258, 14.211298260254944, 
197.434643, 42.49251487057322, 14.899401888907077, 
204.485881, 43.82961874145371, 15.599740126710566, 
211.537118, 45.2392402217328, 16.3115140448898, 
218.588355, 46.726002597622106, 17.033629965701873, 
225.639592, 48.2946754612266, 17.76464650764872, 
232.69083, 49.95012205508736, 18.502717593875918, 
239.742067, 51.69722530301615, 19.245531409413292, 
246.793304, 53.54079223294112, 19.99024903321051, 
253.844541, 55.485428052147974, 20.733443718586187, 
260.895779, 57.53537998463139, 21.47104681239349, 
267.947016, 59.694345062624976, 22.19830474765232, 
274.998253, 61.9652456924574, 22.90975593908722, 
282.04949, 64.34996942350443, 23.599233804773153, 
289.100728, 66.84908403602591, 24.2599067539301, 
296.151965, 69.46153608616956, 24.884362924653466, 
303.203202, 72.18435699100196, 25.464748792222064, 
310.254439, 75.01239474743713, 25.992964160399488, 
317.305677, 77.93810784080082, 26.46091435315138, 
324.356914, 80.9514506270871, 26.86081121585959, 
331.408151, 84.03988928193202, 27.18550842902589, 
338.459388, 87.18856513027497, 27.428846555664265, 
345.510626, 90.38062344422453, 27.58597936003537, 
352.561863, 93.59769509531995, 27.653648890073345, 
359.6131, 96.82050976888709, 27.630379872143312, 
366.664338, 100.02958450399402, 27.51657044473085, 
373.715575, 103.20593131824091, 27.314468823636044, 
380.766812, 106.33172459287678, 27.02803824053128, 
387.818049, 109.39086333161111, 26.662726433827537, 
394.869287, 112.36939511303407, 26.22516545199927, 
401.920524, 115.25577645827177, 25.722833564680965, 
408.971761, 118.04097704724191, 25.163709884244504, 
416.022998, 120.71843697991628, 24.555950283298692, 
423.074236, 123.28391270668736, 23.907603972493934, 
430.125473, 125.73524055951735, 23.2263838596943, 
437.17671, 128.07205687423956, 22.5194938442689, 
444.227947, 130.29549623335402, 21.793513272819773, 
451.279185, 132.40789608571967, 21.054331122987918, 
458.330422, 134.41251955064524, 20.307122728001417, 
465.381659, 136.31331089523596, 19.55635816058571, 
472.432896, 138.114682216785, 18.805835407228646, 
479.484134, 139.82133700509405, 18.058728739346467, 
486.535371, 141.4381256534684, 17.317646948312557, 
493.586608, 142.969933678944, 16.58469460533352, 
500.637845, 144.42159388880762, 15.861534651821279, 
507.689083, 145.79782229863457, 15.149447998518164, 
514.74032, 147.1031712711986, 14.449389685679368, 
521.791557, 148.34199937259606, 13.76203901093219, 
528.842794, 149.5184510673112, 13.087845261132205, 
535.894032, 150.63644658442192, 12.427067370978502, 
542.945269, 151.699677723412, 11.779808910122423, 
549.996506, 152.71161034817248, 11.146047258246364, 
557.047744, 153.67548909782695, 10.52565920388573, 
564.098981, 154.59434482361345, 9.918442569505393, 
571.150218, 155.471004914846, 9.32413358839869, 
578.201455, 156.30810328834852, 8.742422157443183, 
585.252693, 157.10809173095703, 8.172963985057997, 
592.30393, 157.87325071199845, 7.615391026267254, 
599.355167, 158.60570121870376, 7.069319245547861, 
606.406404, 159.307415158195, 6.53435561794691, 
613.457642, 159.98022603927743, 6.0101033385024225, 
620.508879, 160.625838536143, 5.496166383352333, 
627.560116, 161.24583845141075, 4.992152420031705, 
634.611353, 161.8417011752927, 4.497675714287842, 
641.662591, 162.41480010662994, 4.012358974625497, 
648.713828, 162.9664140024132, 3.5358351081335178, 
655.765065, 163.49773461231058, 3.0677478794454744, 
662.816302, 164.0098729414568, 2.607752922088327, 
669.86754, 164.50386550566193, 2.1555180716256515, 
676.918777, 164.98067967845157, 1.7107238705094217, 
683.970014, 165.4412193198482, 1.27306326259984, 
691.021251, 165.88632925651348, 0.8422417919131692, 
698.072489, 166.31679982482993, 0.4179773160281738, 
